time,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,3day_prediction
2023-12-01,73,-50.3,-60.1,-54.6,-60.4,-70.0,-64.5,0.0,1.406,18.0,9.2,31.1,253,5.09,0.001,0.276
2023-12-02,73,-46.5,-57.1,-52.2,-59.5,-68.3,-63.9,0.004,2.067,24.0,14.1,46.1,255,5.02,0.001,0.0
2023-12-03,75,-39.8,-46.6,-43.3,-50.9,-59.6,-54.9,0.004,7.11,24.0,14.0,44.1,266,2.62,0.001,0.0
2023-12-04,73,-34.2,-46.7,-40.1,-44.6,-56.0,-50.1,0.012,0.276,5.0,8.3,26.4,285,8.25,0.003,1.654
2023-12-05,1,-26.7,-45.9,-38.4,-34.9,-56.4,-48.0,0.0,0.0,0.0,7.2,15.7,260,10.27,0.006,3.638
2023-12-06,3,-26.1,-34.4,-29.9,-35.2,-45.1,-40.4,0.0,0.0,0.0,13.8,45.0,214,10.31,0.008,0.0
2023-12-07,75,-31.9,-56.1,-45.6,-46.0,-66.2,-57.0,0.0,1.654,9.0,15.3,51.9,249,8.03,0.002,0.0
2023-12-08,75,-47.7,-62.3,-56.7,-58.7,-71.6,-67.5,0.0,3.638,20.0,12.1,35.1,273,4.06,0.001,0.0
2023-12-09,3,-56.3,-71.8,-62.2,-64.4,-80.8,-71.3,0.0,0.0,0.0,6.0,17.4,244,10.29,0.001,0.0
2023-12-10,3,-36.8,-56.8,-44.9,-46.4,-66.7,-54.6,0.0,0.0,0.0,6.0,23.3,247,8.61,0.003,0.0
2023-12-11,3,-34.6,-47.2,-40.0,-43.5,-57.1,-49.2,0.0,0.0,0.0,5.5,17.0,228,9.76,0.004,0.0
2023-12-12,3,-35.5,-55.8,-43.3,-43.9,-65.3,-52.2,0.0,0.0,0.0,4.8,13.9,161,7.95,0.003,0.0
2023-12-13,1,-37.2,-59.5,-48.5,-45.9,-69.4,-57.6,0.0,0.0,0.0,5.2,17.2,126,9.14,0.003,0.0
2023-12-14,0,-37.8,-53.7,-43.6,-46.3,-63.2,-52.7,0.0,0.0,0.0,6.0,12.8,253,9.7,0.004,0.0
2023-12-15,2,-28.4,-56.3,-43.0,-37.9,-66.7,-52.4,0.0,0.0,0.0,7.0,14.8,239,9.82,0.005,0.0
2023-12-16,3,-29.6,-45.9,-39.7,-38.3,-56.4,-49.5,0.0,0.0,0.0,7.0,15.9,217,9.53,0.006,0.138
2023-12-17,3,-27.1,-50.3,-38.3,-36.7,-60.4,-47.8,0.0,0.0,0.0,6.0,17.2,216,9.88,0.006,0.358
2023-12-18,3,-25.2,-42.3,-32.1,-34.6,-52.7,-42.5,0.0,0.0,0.0,10.8,30.9,200,7.69,0.007,0.0
2023-12-19,71,-31.3,-36.3,-33.6,-41.6,-46.9,-44.5,0.0,0.138,4.0,11.5,34.2,223,7.82,0.005,0.0
2023-12-20,73,-32.9,-42.2,-37.0,-41.9,-51.7,-46.3,0.0,0.358,7.0,5.4,21.5,219,7.35,0.004,1.268
2023-12-21,3,-31.8,-47.2,-38.9,-40.8,-57.2,-48.3,0.0,0.0,0.0,6.3,17.2,239,9.36,0.004,0.0
2023-12-22,3,-35.3,-45.9,-41.5,-43.9,-56.4,-50.8,0.0,0.0,0.0,6.7,13.6,226,8.31,0.003,0.0
2023-12-23,75,-40.6,-68.3,-51.9,-49.8,-78.5,-61.8,0.008,1.268,7.0,8.1,24.6,263,5.99,0.001,0.0
2023-12-24,3,-55.2,-75.2,-67.4,-63.0,-85.3,-77.0,0.0,0.0,0.0,7.7,18.1,267,10.23,0.001,0.0
2023-12-25,0,-53.3,-72.2,-63.9,-62.0,-82.5,-73.6,0.0,0.0,0.0,7.5,18.6,257,10.11,0.002,0.0
2023-12-26,3,-47.7,-70.2,-56.3,-55.9,-81.0,-65.8,0.0,0.0,0.0,7.9,23.0,280,9.88,0.002,0.0
2023-12-27,3,-38.7,-58.5,-46.5,-46.7,-68.1,-55.3,0.0,0.0,0.0,4.8,11.4,216,9.86,0.003,0.193
2023-12-28,3,-29.9,-50.7,-37.8,-38.8,-60.8,-46.7,0.0,0.0,0.0,5.9,13.6,268,9.37,0.005,0.083
2023-12-29,3,-29.9,-47.0,-34.6,-39.0,-57.7,-44.1,0.0,0.0,0.0,7.3,17.7,220,9.88,0.006,0.0
2023-12-30,73,-31.0,-43.0,-35.0,-40.1,-52.4,-44.4,0.0,0.193,3.0,6.2,20.1,218,5.19,0.004,0.0
2023-12-31,71,-33.4,-47.4,-39.6,-42.7,-57.7,-48.7,0.0,0.083,3.0,6.5,12.5,234,9.7,0.004,0.551
2024-01-01,0,-36.2,-50.0,-40.8,-45.6,-60.2,-49.8,0.0,0.0,0.0,6.2,12.1,224,10.05,0.004,0.386
2024-01-02,3,-39.6,-54.9,-45.4,-48.1,-64.8,-54.6,0.0,0.0,0.0,6.8,14.1,221,10.13,0.004,1.736
2024-01-03,73,-40.2,-52.1,-46.3,-49.4,-61.7,-55.4,0.0,0.551,8.0,6.0,19.5,182,7.59,0.003,0.579
2024-01-04,71,-46.8,-58.2,-51.6,-54.4,-67.5,-60.8,0.008,0.386,13.0,5.1,16.6,301,3.4,0.001,2.783
2024-01-05,73,-50.0,-59.8,-54.2,-59.8,-68.9,-64.1,0.004,1.736,20.0,7.0,22.6,286,3.37,0.001,0.248
2024-01-06,73,-51.5,-65.8,-57.0,-61.1,-75.1,-66.8,0.0,0.579,5.0,8.4,29.1,223,9.57,0.001,1.047
2024-01-07,73,-55.6,-63.4,-59.5,-66.3,-73.3,-69.4,0.008,2.783,22.0,8.0,26.8,275,3.38,0.0,2.783
2024-01-08,71,-61.4,-75.8,-65.3,-70.6,-85.2,-74.7,0.0,0.248,8.0,5.6,19.5,278,6.45,0.001,1.268
2024-01-09,75,-49.6,-64.4,-56.2,-60.9,-74.6,-67.3,0.0,1.047,10.0,13.1,46.8,256,6.0,0.001,1.681
2024-01-10,75,-55.2,-66.9,-61.4,-66.3,-77.5,-72.7,0.0,2.783,20.0,11.4,38.7,251,3.95,0.0,6.366
2024-01-11,73,-63.0,-68.8,-65.7,-73.4,-79.8,-76.0,0.004,1.268,24.0,10.8,32.7,262,5.71,0.0,4.988
2024-01-12,73,-53.6,-67.2,-59.0,-68.3,-80.9,-73.0,0.0,1.681,20.0,19.8,62.4,259,4.59,0.001,0.909
2024-01-13,75,-48.5,-65.4,-56.3,-60.6,-77.6,-68.2,0.016,6.366,23.0,14.6,42.7,249,3.66,0.0,0.0
2024-01-14,75,-45.9,-50.7,-48.4,-57.5,-62.8,-60.0,0.004,4.988,24.0,12.1,48.1,267,3.45,0.001,3.445
2024-01-15,73,-51.3,-67.5,-59.2,-63.8,-78.1,-70.8,0.004,0.909,11.0,13.7,41.6,263,8.37,0.001,0.937
2024-01-16,3,-45.9,-64.4,-54.7,-56.4,-74.5,-64.6,0.0,0.0,0.0,8.8,26.4,245,11.19,0.003,0.0
2024-01-17,75,-43.0,-47.9,-44.9,-54.4,-59.7,-56.5,0.0,3.445,17.0,11.9,37.6,245,5.5,0.001,1.378
2024-01-18,73,-41.8,-48.6,-45.3,-52.3,-58.2,-55.9,0.008,0.937,6.0,10.9,31.5,266,9.48,0.002,3.445
2024-01-19,3,-31.7,-47.0,-38.7,-40.1,-56.7,-47.8,0.0,0.0,0.0,5.1,16.8,238,9.78,0.005,0.193
2024-01-20,75,-33.3,-42.1,-38.8,-42.8,-52.4,-48.9,0.0,1.378,8.0,8.6,28.6,215,6.34,0.003,0.331
2024-01-21,73,-39.3,-42.9,-41.2,-49.1,-52.0,-50.9,0.008,3.445,24.0,7.1,21.3,233,3.68,0.001,0.055
2024-01-22,71,-38.3,-53.0,-43.8,-47.3,-62.2,-53.0,0.016,0.193,10.0,5.2,17.2,199,8.65,0.003,1.957
2024-01-23,73,-39.9,-53.9,-47.8,-48.7,-63.3,-56.7,0.008,0.331,6.0,5.0,11.9,231,6.52,0.002,0.0
2024-01-24,71,-41.8,-54.1,-48.0,-51.1,-63.7,-57.1,0.0,0.055,2.0,4.9,15.9,248,7.99,0.002,0.0
2024-01-25,73,-43.4,-49.7,-46.1,-52.9,-58.5,-55.5,0.004,1.957,18.0,5.6,17.4,262,3.91,0.001,0.0
2024-01-26,51,-45.0,-61.7,-52.9,-53.3,-71.1,-61.7,0.004,0.0,1.0,5.7,13.6,256,11.11,0.003,0.0
2024-01-27,3,-36.0,-50.6,-43.6,-44.6,-60.2,-52.8,0.0,0.0,0.0,5.2,17.9,285,9.97,0.004,0.0
2024-01-28,3,-29.0,-47.3,-35.8,-38.1,-57.4,-44.9,0.0,0.0,0.0,6.0,15.0,291,11.42,0.006,0.0
2024-01-29,0,-30.2,-40.9,-33.9,-38.7,-50.9,-42.9,0.0,0.0,0.0,5.7,12.8,294,12.64,0.006,0.717
2024-01-30,0,-28.8,-43.6,-36.5,-37.5,-54.2,-46.1,0.0,0.0,0.0,7.0,13.9,230,13.03,0.007,5.76
2024-01-31,0,-30.3,-44.3,-36.4,-39.3,-54.5,-45.9,0.0,0.0,0.0,6.1,19.0,205,13.23,0.007,2.067
2024-02-01,73,-33.5,-39.4,-36.8,-43.6,-49.3,-46.7,0.0,0.717,10.0,6.8,25.1,162,9.01,0.004,0.11
2024-02-02,75,-39.3,-47.7,-42.8,-48.7,-58.0,-52.3,0.02,5.76,24.0,7.1,21.0,257,3.06,0.001,3.941
2024-02-03,73,-47.8,-55.1,-50.7,-58.2,-65.5,-61.2,0.004,2.067,24.0,8.6,26.2,286,8.7,0.001,2.591
2024-02-04,73,-44.9,-62.9,-53.2,-54.3,-71.6,-62.7,0.0,0.11,2.0,8.4,29.1,194,13.7,0.003,6.669
2024-02-05,75,-38.6,-44.1,-41.2,-50.2,-55.2,-52.3,0.0,3.941,18.0,10.7,46.1,178,5.36,0.002,1.654
2024-02-06,75,-38.0,-44.2,-41.3,-48.0,-54.1,-51.4,0.0,2.591,13.0,8.1,31.5,160,6.47,0.002,0.634
2024-02-07,75,-44.2,-52.6,-47.3,-54.2,-62.5,-57.3,0.0,6.669,19.0,8.0,27.1,252,3.45,0.001,0.0
2024-02-08,73,-47.3,-55.0,-51.1,-57.2,-63.4,-60.5,0.004,1.654,21.0,5.9,21.7,240,7.61,0.001,0.0
2024-02-09,73,-51.7,-62.0,-55.4,-61.0,-70.5,-64.8,0.004,0.634,14.0,6.9,21.5,277,9.85,0.001,0.0
2024-02-10,3,-54.1,-71.1,-61.3,-63.0,-80.2,-70.7,0.0,0.0,0.0,6.8,17.7,306,13.6,0.002,0.055
2024-02-11,2,-47.2,-70.6,-59.6,-55.0,-80.9,-68.9,0.0,0.0,0.0,7.1,17.9,287,14.89,0.003,0.799
2024-02-12,3,-42.9,-61.2,-53.0,-51.3,-71.2,-62.4,0.0,0.0,0.0,6.1,16.8,271,14.56,0.004,3.996
2024-02-13,71,-39.1,-55.8,-45.3,-48.1,-66.0,-55.0,0.0,0.055,2.0,6.3,21.3,239,14.16,0.005,2.701
2024-02-14,73,-42.9,-49.5,-46.0,-54.3,-59.9,-56.8,0.0,0.799,11.0,10.2,30.4,244,12.95,0.003,0.0
2024-02-15,75,-43.5,-52.1,-46.3,-54.6,-61.7,-57.2,0.0,3.996,16.0,10.7,34.4,246,7.35,0.002,1.764
2024-02-16,75,-45.0,-60.7,-49.3,-56.7,-69.3,-60.0,0.0,2.701,12.0,11.0,41.2,261,6.71,0.001,3.28
2024-02-17,3,-42.3,-69.9,-52.7,-49.7,-79.9,-61.6,0.0,0.0,0.0,5.7,18.3,187,16.65,0.004,4.713
2024-02-18,73,-41.0,-48.2,-44.0,-51.5,-58.4,-54.6,0.0,1.764,14.0,10.6,37.6,233,8.75,0.002,2.949
2024-02-19,75,-33.3,-42.8,-38.7,-44.5,-52.7,-49.3,0.0,3.28,11.0,10.0,34.4,212,11.85,0.005,0.055
2024-02-20,75,-38.5,-42.8,-40.8,-48.8,-52.9,-51.1,0.0,4.713,19.0,9.3,31.8,221,7.74,0.002,0.0
2024-02-21,75,-41.4,-54.8,-45.1,-52.1,-64.1,-55.3,0.0,2.949,18.0,8.8,30.2,248,8.18,0.002,0.0
2024-02-22,71,-44.1,-59.0,-51.4,-52.9,-67.8,-60.6,0.0,0.055,2.0,5.2,16.6,266,14.7,0.003,0.0
2024-02-23,3,-42.3,-59.6,-52.1,-49.6,-70.5,-61.5,0.0,0.0,0.0,7.6,16.8,269,17.57,0.004,1.488
2024-02-24,3,-35.6,-57.3,-45.7,-42.8,-68.3,-55.2,0.0,0.0,0.0,8.1,19.2,255,17.94,0.007,1.543
2024-02-25,2,-35.3,-41.9,-38.6,-44.1,-52.4,-49.2,0.0,0.0,0.0,11.4,32.4,243,17.91,0.007,0.0
2024-02-26,75,-38.7,-49.1,-41.3,-50.2,-59.7,-53.2,0.0,1.488,12.0,15.7,52.1,250,15.12,0.004,0.0
2024-02-27,73,-51.3,-67.6,-62.8,-62.5,-77.3,-74.4,0.004,1.543,21.0,13.9,43.0,268,11.3,0.001,0.606
2024-02-28,0,-41.5,-67.8,-53.5,-48.7,-78.2,-62.8,0.0,0.0,0.0,6.9,17.7,243,18.39,0.005,4.217
2024-02-29,3,-36.7,-44.3,-39.3,-47.0,-54.1,-50.2,0.0,0.0,0.0,11.7,36.7,219,18.41,0.006,1.102
2024-03-01,75,-37.9,-45.0,-41.4,-49.4,-56.3,-53.4,0.0,0.606,3.0,12.1,45.0,215,14.12,0.004,0.827
2024-03-02,75,-43.0,-65.1,-49.5,-55.3,-74.4,-61.2,0.0,4.217,15.0,15.4,62.0,224,8.13,0.002,0.551
2024-03-03,75,-54.0,-68.4,-59.8,-67.0,-77.0,-71.1,0.004,1.102,15.0,14.6,43.8,261,8.07,0.001,2.067
2024-03-04,73,-54.9,-66.7,-60.4,-67.4,-76.3,-71.1,0.0,0.827,13.0,11.9,42.1,246,11.24,0.001,2.728
2024-03-05,73,-42.8,-58.6,-47.8,-53.2,-68.9,-58.5,0.0,0.551,9.0,10.7,31.8,235,14.13,0.003,0.0
2024-03-06,73,-39.7,-48.9,-43.3,-48.6,-57.6,-53.4,0.0,2.067,22.0,11.2,33.6,242,17.45,0.005,0.0
2024-03-07,75,-43.3,-54.2,-46.9,-52.7,-63.1,-56.2,0.0,2.728,17.0,5.3,18.6,269,12.13,0.003,0.0
2024-03-08,3,-48.9,-71.6,-57.1,-55.3,-81.3,-65.6,0.0,0.0,0.0,5.0,16.3,285,20.79,0.004,0.827
2024-03-09,1,-34.4,-51.2,-43.2,-39.6,-61.4,-52.0,0.0,0.0,0.0,8.5,25.3,229,21.45,0.009,3.28
2024-03-10,3,-34.9,-42.5,-38.9,-43.0,-53.8,-49.4,0.0,0.0,0.0,9.2,27.3,215,20.64,0.008,1.268
2024-03-11,75,-37.0,-48.1,-40.4,-48.6,-57.3,-51.4,0.0,0.827,6.0,11.5,36.5,232,15.91,0.005,0.11
